ORIGIN,,,,,,,,,,STATUS,,,,,DESCRIPTION AND CATALOG OF THE RULE,,,,,,MAIN DATA INFORMATION,,,,,,,,,,,TECHNICAL INFORMATION,,,,,,,,,,,,,,,,,,,,"Modificado (cambiado color a amarillo) --> NO TOCAR ARRASTRAR FORMULA
Nueva versión en verde (ajustar MMRule ""0N"")--> (Normativa de repositorios de configuraciones y jobs - 3.2 )",,,,,Extra info C360,,,Revision Final-WIP,,nueva version en verde,,,,
Local,,,,,,,,,N/A,FINISHED,DELIVERED,,1Q21,,3.1-Checking the null data value (NULL or empty value),,YES,,"El campo g_country_id
de la tabla t_g5m3_movement_carbon_footprint
debe estar informado","The 
field g_country_id from the object t_g5m3_movement_carbon_footprint  
must be informed",g_country_id,,,,,,t_g5m3_movement_carbon_footprint,,,,,,,,,N/A,N/A,N/A,,,,,,,N/A,TRUE,,GL_MVP_t_g5m3_movement_carbon_footprint_3.1_001,NO CHANGES,,15.1.0,G5M3_movement-carbon-footprint_MRField.conf,"CUTOFF_DATE: Date of the data
OPERATION_DATE: Date of the data without hyphen",,,#N/A,G5M3,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-g5m3/blob/15.1.0/hammurabi/confs/master/g5m3/G5M3_movement-carbon-footprint_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,N/A,FINISHED,DELIVERED,,1Q21,,3.1-Checking the null data value (NULL or empty value),,YES,,"El campo g_entity_id
de la tabla t_g5m3_movement_carbon_footprint
debe estar informado","The 
field g_entity_id from the object t_g5m3_movement_carbon_footprint  
must be informed",g_entity_id,,,,,,t_g5m3_movement_carbon_footprint,,,,,,,,,N/A,N/A,N/A,,,,,,,N/A,TRUE,,GL_MVP_t_g5m3_movement_carbon_footprint_3.1_002,NO CHANGES,,15.1.0,G5M3_movement-carbon-footprint_MRField.conf,"CUTOFF_DATE: Date of the data
OPERATION_DATE: Date of the data without hyphen",,,#N/A,G5M3,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-g5m3/blob/15.1.0/hammurabi/confs/master/g5m3/G5M3_movement-carbon-footprint_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,N/A,FINISHED,DELIVERED,,1Q21,,3.1-Checking the null data value (NULL or empty value),,YES,,"El campo gf_entity_id
de la tabla t_g5m3_movement_carbon_footprint
debe estar informado","The 
field gf_entity_id from the object t_g5m3_movement_carbon_footprint  
must be informed",gf_entity_id,,,,,,t_g5m3_movement_carbon_footprint,,,,,,,,,N/A,N/A,N/A,,,,,,,N/A,TRUE,,GL_MVP_t_g5m3_movement_carbon_footprint_3.1_003,NO CHANGES,,15.1.0,G5M3_movement-carbon-footprint_MRField.conf,"CUTOFF_DATE: Date of the data
OPERATION_DATE: Date of the data without hyphen",,,#N/A,G5M3,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-g5m3/blob/15.1.0/hammurabi/confs/master/g5m3/G5M3_movement-carbon-footprint_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,N/A,FINISHED,DELIVERED,,4Q21,,3.1-Checking the null data value (NULL or empty value),,YES,,"El campo g_country_id
de la tabla t_cgj7_customer_carbon_footprint 
debe estar informado","The 
field g_country_id from the object t_cgj7_customer_carbon_footprint 
must be informed",g_country_id,,,,,,t_cgj7_customer_carbon_footprint,,,,,,,,,N/A,N/A,N/A,,,,,,,N/A,TRUE,,GL_MVP_t_cgj7_customer_carbon_footprint_3.1_001,NO CHANGES,,15.1.0,CGJ7_customer-carbon-footprint_MRField.conf,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data
     PREVIOUS_CUTOFF_DATE: Previous date to be compared

JOB EXTRALIBS:
     extralibs: Link to custom repository",,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_CGJ7_APP-ID-23154_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/cgj7-gl-hmm-qlt-customercarbonfootpmrfield-01.json?at=refs%2Ftags%2Fv18.3.7
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_CGJ7_APP-ID-23154_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/cgj7-gl-hmm-qlt-customercarbonfootpmrfield-01.json?at=refs%2Ftags%2Fv18.3.7",CGJ7,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-cgj7/blob/15.1.0/hammurabi/confs/master/cgj7/CGJ7_customer-carbon-footprint_MRField.conf,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/bbva/projectsdatio/c360hammcustom/1.3.4/c360hammcustom-1.3.4-jar-with-dependencies.jar,06/11/2024,Stock,
Local,,,,,,,,,N/A,FINISHED,DELIVERED,,4Q21,,3.1-Checking the null data value (NULL or empty value),,YES,,"El campo gf_entity_id
de la tabla t_cgj7_customer_carbon_footprint 
debe estar informado","The 
field gf_entity_id from the object t_cgj7_customer_carbon_footprint 
must be informed",gf_entity_id,,,,,,t_cgj7_customer_carbon_footprint,,,,,,,,,N/A,N/A,N/A,,,,,,,N/A,TRUE,,GL_MVP_t_cgj7_customer_carbon_footprint_3.1_003,NO CHANGES,,15.1.0,CGJ7_customer-carbon-footprint_MRField.conf,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data
     PREVIOUS_CUTOFF_DATE: Previous date to be compared

JOB EXTRALIBS:
     extralibs: Link to custom repository",,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_CGJ7_APP-ID-23154_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/cgj7-gl-hmm-qlt-customercarbonfootpmrfield-01.json?at=refs%2Ftags%2Fv18.3.7
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_CGJ7_APP-ID-23154_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/cgj7-gl-hmm-qlt-customercarbonfootpmrfield-01.json?at=refs%2Ftags%2Fv18.3.7",CGJ7,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-cgj7/blob/15.1.0/hammurabi/confs/master/cgj7/CGJ7_customer-carbon-footprint_MRField.conf,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/bbva/projectsdatio/c360hammcustom/1.3.4/c360hammcustom-1.3.4-jar-with-dependencies.jar,06/11/2024,Stock,
Local,,,,,,,,,N/A,FINISHED,DELIVERED,,1Q21,,3.2-Checking the format of the field (Data type and format),,YES,,El valor del dato cumple con el formato requerido: ALPHANUMERIC(15),The data value complies with the required format: ALPHANUMERIC(15),g_customer_id,,,,,,t_cgj7_customer_carbon_footprint,,,,,,,,,ALPHANUMERIC(15),N/A,"^.{1,15}$",,,,,,,N/A,TRUE,,GL_MVP_t_cgj7_customer_carbon_footprint_3.2_000,NO CHANGES,,15.1.0,CGJ7_customer-carbon-footprint_MRField.conf,"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data
     PREVIOUS_CUTOFF_DATE: Previous date to be compared

JOB EXTRALIBS:
     extralibs: Link to custom repository",,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_CGJ7_APP-ID-23154_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/cgj7-gl-hmm-qlt-customercarbonfootpmrfield-01.json?at=refs%2Ftags%2Fv18.3.7
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_CGJ7_APP-ID-23154_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/cgj7-gl-hmm-qlt-customercarbonfootpmrfield-01.json?at=refs%2Ftags%2Fv18.3.7",CGJ7,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-cgj7/blob/15.1.0/hammurabi/confs/master/cgj7/CGJ7_customer-carbon-footprint_MRField.conf,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/bbva/projectsdatio/c360hammcustom/1.3.4/c360hammcustom-1.3.4-jar-with-dependencies.jar,06/11/2024,Stock,
Local,,,,,,,,,N/A,FINISHED,DELIVERED,,1Q21,,3.2-Checking the format of the field (Data type and format),,YES,,El valor del dato cumple con el formato requerido: ALPHANUMERIC(50),The data value complies with the required format: ALPHANUMERIC(50),g_contract_id,,,,,,t_rzua_sust_operations,,,,,,,,,ALPHANUMERIC(50),N/A,"^.{1,50}$",,,,,,,N/A,TRUE,,GL_MVP_t_rzua_sust_operations_3.2_000,NO CHANGES,,15.1.0,RZUA_sust-operations_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_RZUA_APP-ID-19546_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/rzua-gl-hmm-qlt-sustoperationsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_RZUA_APP-ID-19546_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/rzua-gl-hmm-qlt-sustoperationsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3",RZUA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-rzua/blob/15.1.0/hammurabi/confs/master/rzua/RZUA_sust-operations_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,N/A,FINISHED,DELIVERED,,1Q21,,3.2-Checking the format of the field (Data type and format),,NO,,El valor del dato cumple con el formato requerido: ALPHANUMERIC(10),The data value complies with the required format: ALPHANUMERIC(10),gf_sustainability_mark_id,,,,,,t_rzua_sust_operations,,,,,,,,,ALPHANUMERIC(10),N/A,"^.{1,10}$",,,,,,,N/A,TRUE,,GL_MVP_t_rzua_sust_operations_3.2_001,NO CHANGES,,15.1.0,RZUA_sust-operations_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_RZUA_APP-ID-19546_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/rzua-gl-hmm-qlt-sustoperationsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_RZUA_APP-ID-19546_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/rzua-gl-hmm-qlt-sustoperationsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3",RZUA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-rzua/blob/15.1.0/hammurabi/confs/master/rzua/RZUA_sust-operations_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,N/A,FINISHED,DELIVERED,,1Q21,,3.2-Checking the format of the field (Data type and format),,NO,,El valor del dato cumple con el formato requerido: ALPHANUMERIC(10),The data value complies with the required format: ALPHANUMERIC(10),gf_sustainability_category_id,,,,,,t_rzua_sust_operations,,,,,,,,,ALPHANUMERIC(10),N/A,"^.{1,10}$",,,,,,,N/A,TRUE,,GL_MVP_t_rzua_sust_operations_3.2_002,NO CHANGES,,15.1.0,RZUA_sust-operations_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_RZUA_APP-ID-19546_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/rzua-gl-hmm-qlt-sustoperationsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_RZUA_APP-ID-19546_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/rzua-gl-hmm-qlt-sustoperationsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3",RZUA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-rzua/blob/15.1.0/hammurabi/confs/master/rzua/RZUA_sust-operations_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,N/A,FINISHED,DELIVERED,,1Q21,,3.2-Checking the format of the field (Data type and format),,YES,,El valor del dato cumple con el formato requerido: ALPHANUMERIC(10),The data value complies with the required format: ALPHANUMERIC(10),gf_sustainability_subcatg_id,,,,,,t_rzua_sust_operations,,,,,,,,,ALPHANUMERIC(10),N/A,"^.{1,10}$",,,,,,,N/A,TRUE,,GL_MVP_t_rzua_sust_operations_3.2_003,NO CHANGES,,15.1.0,RZUA_sust-operations_MRField.conf,CUTOFF_DATE: Date of the data,,,"https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_RZUA_APP-ID-19546_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/europa/rzua-gl-hmm-qlt-sustoperationsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3
https://bitbucket.globaldevtools.bbva.com/bitbucket/projects/GL_RZUA_APP-ID-19546_DSG/repos/glgldh360gloqlt/browse/hammurabi/jobs/america/rzua-gl-hmm-qlt-sustoperationsmrfield-01.json?at=refs%2Ftags%2Fv18.3.3",RZUA,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-rzua/blob/15.1.0/hammurabi/confs/master/rzua/RZUA_sust-operations_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,N/A,FINISHED,DELIVERED,,1Q21,,3.2-Checking the format of the field (Data type and format),,YES,,El valor del dato cumple con el formato requerido: ALPHANUMERIC(70),The data value complies with the required format: ALPHANUMERIC(70),g_movement_id,,,,,,t_g5m3_movement_carbon_footprint,,,,,,,,,ALPHANUMERIC(70),N/A,"^.{1,70}$",,,,,,,N/A,TRUE,,GL_MVP_t_g5m3_movement_carbon_footprint_3.2_000,NO CHANGES,,15.1.0,G5M3_movement-carbon-footprint_MRField.conf,"CUTOFF_DATE: Date of the data
OPERATION_DATE: Date of the data without hyphen",,,#N/A,G5M3,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-g5m3/blob/15.1.0/hammurabi/confs/master/g5m3/G5M3_movement-carbon-footprint_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,N/A,FINISHED,DELIVERED,,1Q21,,3.2-Checking the format of the field (Data type and format),,YES,,El valor del dato cumple con el formato requerido: ALPHANUMERIC(2),The data value complies with the required format: ALPHANUMERIC(2),g_country_id,,,,,,t_g5m3_movement_carbon_footprint,,,,,,,,,ALPHANUMERIC(2),N/A,"^.{1,2}$",,,,,,,N/A,TRUE,,GL_MVP_t_g5m3_movement_carbon_footprint_3.2_001,NO CHANGES,,15.1.0,G5M3_movement-carbon-footprint_MRField.conf,"CUTOFF_DATE: Date of the data
OPERATION_DATE: Date of the data without hyphen",,,#N/A,G5M3,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-g5m3/blob/15.1.0/hammurabi/confs/master/g5m3/G5M3_movement-carbon-footprint_MRField.conf,,06/11/2024,Stock,
Local,,,,,,,,,N/A,FINISHED,DELIVERED,,1Q21,,3.2-Checking the format of the field (Data type and format),,YES,,El valor del dato cumple con el formato requerido: ALPHANUMERIC(6),The data value complies with the required format: ALPHANUMERIC(6),g_entity_id,,,,,,t_g5m3_movement_carbon_footprint,,,,,,,,,ALPHANUMERIC(6),N/A,"^.{1,6}$",,,,,,,N/A,TRUE,,GL_MVP_t_g5m3_movement_carbon_footprint_3.2_002,NO CHANGES,,15.1.0,G5M3_movement-carbon-footprint_MRField.conf,"CUTOFF_DATE: Date of the data
OPERATION_DATE: Date of the data without hyphen",,,#N/A,G5M3,,,,,https://bbva.ghe.com/platform/gl-cs-360-gdh-qlt-g5m3/blob/15.1.0/hammurabi/confs/master/g5m3/G5M3_movement-carbon-footprint_MRField.conf,,06/11/2024,Stock,
