ids;naming_set;tablas;subset;datavaluespath;values;datavaluescolumn;datavaluessubset;ID RULE;CATALOG (TAXONOMY/STATIC) (3.5-6.1-6.10);Frequency of measurement;Subset;DEFINITION PERIOD;PUBLICATION DATE;STATUS DEVELOPMENT;STATUS IMPLANTATION;Parameters
GL_DOM_t_katc_relevant_facts_3.5_002;{'gf_higher_trnslty_ind_type'};t_katc_relevant_facts;gf_higher_trnslty_ind_type is not null and gf_higher_trnslty_ind_type != '';;['Y', 'N'];;;GL_DOM_t_katc_relevant_facts_3.5_002;Y/N;Daily;Cuando gf_higher_trnslty_ind_type sea distinto de NULL y vacío;4Q23;Dic_2023;FINISHED;DELIVERED;"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data

JOB EXTRALIBS:
     extralibs: Link to custom repository"
2782112179;{'gf_recurring_incomes_ind_type'};t_kceg_cust_agg_recurring_income;gf_recurring_incomes_ind_type is not null and gf_recurring_incomes_ind_type != '';;['Y', 'N'];;;2782112179;Y/N;Monthly;Distinto de Null o vacío;4Q23;Ene_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
2815c7e1a6;{'gf_customer_outlier_ind_type'};t_kceg_customer_app_expertise;gf_customer_outlier_ind_type  is not null and gf_customer_outlier_ind_type != '' ;;['Y', 'N'];;;2815c7e1a6;Y/N;Daily;Distinto de null o vacío;3Q24;Nov_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27ee1ba517;{'g_customer_mobile_target_type'};t_kceg_customer_engagement_dp;g_customer_digital_target_type = 'Y';;['Y'];;;27ee1ba517;Y;Daily;Sil g_customer_digital_target_type=Y;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27ee1bcb2e;{'g_customer_digital_target_type'};t_kceg_customer_engagement_dp;g_customer_target_type = 'Y';;['Y'];;;27ee1bcb2e;Y;Daily;Si g_customer_target_type=Y;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27ee1bef91;{'g_mobile_behaviour_type'};t_kceg_customer_engagement_dp;g_digital_affiliation_type = 'Y';;['Y'];;;27ee1bef91;Y;Daily;Si g_digital_affiliation_type= Y;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27ee1c197c;{'g_digital_affiliation_type'};t_kceg_customer_engagement_dp;g_mobile_behaviour_type = 'Y';;['Y'];;;27ee1c197c;Y;Daily;g_mobile_behaviour_type=Y;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27ee1c9e44;{'g_customer_target_type'};t_kceg_customer_engagement_dp;g_mobile_behaviour_type = 'Y';;['Y'];;;27ee1c9e44;Y;Daily;g_mobile_behaviour_type= Y ;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27ee1ce335;{'g_customer_target_type'};t_kceg_customer_engagement_dp;g_customer_digital_target_type = 'Y';;['Y'];;;27ee1ce335;Y;Daily;Si g_customer_digital_target_type = Y ;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27efd0f619;{'g_comm_act_mh_cust_ind_type'};t_kceg_customer_engagement_dp;;;['Y', 'N'];;;27efd0f619;Y/N;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27efd0f67b;{'gf_total_cust_mark_ind_type'};t_kceg_customer_engagement_dp;;;['Y', 'N'];;;27efd0f67b;Y/N;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27efd0f6f0;{'g_anchor_product_type'};t_kceg_customer_engagement_dp;;;['Y', 'N', 'X'];;;27efd0f6f0;Y/N/X;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27f55d7ea0;{'g_customer_digital_target_type'};t_kceg_customer_engagement_dp;;;['Y', 'N', 'X'];;;27f55d7ea0;Y/N/X;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27f55d7f7d;{'g_digital_affiliation_type'};t_kceg_customer_engagement_dp;;;['Y', 'N'];;;27f55d7f7d;Y/N;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27f55d7f0e;{'g_customer_mobile_target_type'};t_kceg_customer_engagement_dp;;;['Y', 'N', 'X'];;;27f55d7f0e;Y/N/X;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_kceg_customer_engagement_3.5_000;{'g_customer_target_type'};t_kceg_customer_engagement;;;['Y', 'N'];;;GL_DOM_t_kceg_customer_engagement_3.5_000;Y/N;Monthly;;1Q22;Abr_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_kceg_customer_engagement_3.5_001;{'g_customer_target_type'};t_kceg_customer_engagement;g_customer_digital_target_type=='Y';;['Y'];;;GL_DOM_t_kceg_customer_engagement_3.5_001;Y/N;Monthly;g_customer_digital_target_type=Y;1Q22;Abr_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_kceg_customer_engagement_3.5_002;{'g_digital_affiliation_type'};t_kceg_customer_engagement;;;['Y', 'N'];;;GL_DOM_t_kceg_customer_engagement_3.5_002;Y/N;Monthly;;1Q22;Abr_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_kceg_customer_engagement_3.5_003;{'g_anchor_product_type'};t_kceg_customer_engagement;;;['Y', 'N', 'X'];;;GL_DOM_t_kceg_customer_engagement_3.5_003;Y|N|X;Monthly;;2Q22;Jul_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_kceg_customer_engagement_3.5_004;{'g_customer_digital_target_type'};t_kceg_customer_engagement;;;['Y', 'N', 'X'];;;GL_DOM_t_kceg_customer_engagement_3.5_004;Y|N|X;Monthly;;2Q22;Jul_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_kceg_customer_engagement_3.5_005;{'g_customer_mobile_target_type'};t_kceg_customer_engagement;;;['Y', 'N', 'X'];;;GL_DOM_t_kceg_customer_engagement_3.5_005;Y|N|X;Monthly;;2Q22;Jul_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_kceg_customer_engagement_3.5_007;{'g_comm_act_mh_cust_ind_type'};t_kceg_customer_engagement;;;['Y', 'N'];;;GL_DOM_t_kceg_customer_engagement_3.5_007;Y/N;Monthly;;4Q22;Ene_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_kceg_customer_engagement_3.5_008;{'g_customer_target_type'};t_kceg_customer_engagement;;;['Y', 'N'];;;GL_DOM_t_kceg_customer_engagement_3.5_008;Y/N;Monthly;;4Q22;Ene_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_kceg_customer_engagement_3.5_009;{'gf_total_cust_mark_ind_type'};t_kceg_customer_engagement;;;['Y', 'N'];;;GL_DOM_t_kceg_customer_engagement_3.5_009;Y/N;Monthly;;1Q23;Mar_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
280d14c0c0;{'g_mbl_trgt_c_lt_3_m_1d3_ind_type'};t_kceg_customer_engagement;g_mbl_trgt_c_lt_3_m_1d3_ind_type is not null and g_mbl_trgt_c_lt_3_m_1d3_ind_type != '';;['Y', 'N'];;;280d14c0c0;Y/N;Monthly;Distinto de null o vacío;3Q24;Nov_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
280d14c1d9;{'g_dig_trgt_c_lt_3_m_1d3_ind_type'};t_kceg_customer_engagement;g_dig_trgt_c_lt_3_m_1d3_ind_type is not null and g_dig_trgt_c_lt_3_m_1d3_ind_type != '';;['Y', 'N'];;;280d14c1d9;Y/N;Monthly;Distinto de null o vacío;3Q24;Nov_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
28243e0df2;{'g_main_holder_customer_type'};t_kceg_customer_products_dp;;;['Y', 'N'];;;28243e0df2;Y/N;Daily;;3Q24;Nov_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27d25cc6b9;{'g_main_holder_customer_type'};t_kceg_customer_products;;;['Y', 'N'];;;27d25cc6b9;Y/N;Monthly;;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
276e6d038f;{'g_non_trs_vslztn_only_ind_type'};t_kcpg_appl_cust_contract_perst;g_non_trs_vslztn_only_ind_type is not null and g_non_trs_vslztn_only_ind_type != '';;['Y', 'N'];;;276e6d038f;Y/N;Monthly;Distinto de Null o vacío;3Q23;Oct_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
276e6d0390;{'g_non_visible_mark_ind_type'};t_kcpg_appl_cust_contract_perst;g_non_visible_mark_ind_type is not null and g_non_visible_mark_ind_type != '';;['Y', 'N'];;;276e6d0390;Y/N;Monthly;Distinto de Null o vacío;3Q23;Oct_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
28075be840;{'g_inv_cmunts_act_mark_ind_type'};t_kcpg_appl_cust_perst;g_inv_cmunts_act_mark_ind_type is not null and g_inv_cmunts_act_mark_ind_type != '';;['Y', 'N'];;;28075be840;Y/N;Daily;Distinto de null o vacío;3Q24;Nov_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27dd45594b;{'gf_cust_visible_prdt_ind_type'};t_kcpg_customer_cust_prod;gf_cust_visible_prdt_ind_type is not null and gf_cust_visible_prdt_ind_type != '';;['Y', 'N'];;;27dd45594b;Y/N;Monthly;Si gf_cust_visible_prdt_ind_type no es nulo ni vacío;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27d5f104e1;{'g_product_current_ind_type'};t_kcpg_customer_invest_goals;g_product_current_ind_type is not null and g_product_current_ind_type != '';;['Y', 'N'];;;27d5f104e1;Y/N;Monthly;Cuando g_product_current_ind_type sea distinto de NULL y vacío;1Q24;Abr_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
280d14bd59;{'g_rule_activated_ind_type'};t_kcpg_customer_rules;g_rule_activated_ind_type is not null and g_rule_activated_ind_type != '';;['Y', 'N'];;;280d14bd59;Y/N;Daily;Distinto de null o vacío;3Q24;Nov_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
280d14be79;{'g_rl_notif_actvt_ind_type'};t_kcpg_customer_rules;g_rl_notif_actvt_ind_type is not null and g_rl_notif_actvt_ind_type != '';;['Y', 'N'];;;280d14be79;Y/N;Daily;Distinto de null o vacío;3Q24;Nov_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
280d14bf9c;{'g_shr_exp_divn_cust_ind_type'};t_kcpg_customer_rules;g_shr_exp_divn_cust_ind_type is not null and g_shr_exp_divn_cust_ind_type != '';;['Y', 'N'];;;280d14bf9c;Y/N;Daily;Distinto de null o vacío;3Q24;Nov_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_kcpg_general_budgets_3.5_002;{'g_budget_active_type'};t_kcpg_general_budgets;;;['Y', 'N'];;;GL_DOM_t_kcpg_general_budgets_3.5_002;Y/N;Daily;;4Q21;Ene_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27fe323881;{'g_cka_pb_fav_type'};t_kcpg_general_piggybank;g_cka_pb_fav_type is not null and g_cka_pb_fav_type != '' ;;['Y', 'N'];;;27fe323881;Y/N;Daily;Distinto de Null o vacío;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27a40482cf;{'g_prev_hiring_status_ind_type'};t_kcpg_invest_goal_answers;g_prev_hiring_status_ind_type is not null and g_prev_hiring_status_ind_type != '' ;;['Y', 'N'];;;27a40482cf;Y/N;Monthly;Cuando g_prev_hiring_status_ind_type sea distinto de NULL y vacío;4Q23;Ene_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27ec9544fd;{'g_net_worth_act_mark_ind_type'};t_kcpg_net_worth_cust_perst_dp;;;['Y', 'N'];;;27ec9544fd;Y/N;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
2770fd932a;{'gf_frequency_days_ind_type'};t_kcpg_pfm_cust_date_perst;gf_frequency_days_ind_type  is not null and gf_frequency_days_ind_type != '';;['W', 'M'];;;2770fd932a;W/M;Daily;Distinto de Null o vacío;3Q23;Oct_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
2849692811;{'gf_first_atrb_event_ind_type'};t_kctd_attributions;;;['Y', 'N'];;;2849692811;Y/N;Daily;;3Q24;Nov_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
28496928c8;{'gf_app_downl_wifi_ind_type'};t_kctd_device_information;;;['Y', 'N'];;;28496928c8;Y/N;Daily;;3Q24;Nov_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
2849692aeb;{'gf_reinstl_downl_ind_type'};t_kctd_device_information;;;['Y', 'N'];;;2849692aeb;Y/N;Daily;;3Q24;Nov_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
2849692b97;{'gf_user_consent_trcd_activ_ind_type'};t_kctd_device_information;;;['Y', 'N'];;;2849692b97;Y/N;Daily;;3Q24;Nov_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
2849c9f2fd;{'gf_int_campaign_disp_ind_type'};t_kctd_digital_interaction;gf_int_campaign_disp_ind_type is not null;;['Y', 'N'];;;2849c9f2fd;Y/N;Daily;;3Q24;Nov_2024;FINISHED;DELIVERED;"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data

JOB EXTRALIBS:
     extralibs: Link to custom repository"
2849c9f400;{'gf_int_campaign_click_ind_type'};t_kctd_digital_interaction;gf_int_campaign_click_ind_type is not null;;['Y', 'N'];;;2849c9f400;Y/N;Daily;;3Q24;Nov_2024;FINISHED;DELIVERED;"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data

JOB EXTRALIBS:
     extralibs: Link to custom repository"
28496939fa;{'gf_app_start_ft_click_ind_type'};t_kctd_digital_interaction;;;['Y', 'N'];;;28496939fa;Y/N;Daily;;3Q24;Nov_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
27f75cb4e4;{'cookies_accepted_type'};t_kctd_interaction_activity;;;['Y', 'N', 'U'];;;27f75cb4e4;Y/N/U;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CLOSING_DATE: Closing date of the data
ADOBE_REPORT_SUITE_NAME: The report suite name for the adobe."
27f75cb564;{'adobe_visitor_type'};t_kctd_interaction_activity;;;['Y', 'N'];;;27f75cb564;Y/N;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CLOSING_DATE: Closing date of the data
ADOBE_REPORT_SUITE_NAME: The report suite name for the adobe."
27f75cb5fe;{'adobe_new_visit_type'};t_kctd_interaction_activity;;;['0', '1'];;;27f75cb5fe;0/1;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CLOSING_DATE: Closing date of the data
ADOBE_REPORT_SUITE_NAME: The report suite name for the adobe."
27f75cb679;{'yearly_visitor_type'};t_kctd_interaction_activity;;;['0', '1'];;;27f75cb679;0/1;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CLOSING_DATE: Closing date of the data
ADOBE_REPORT_SUITE_NAME: The report suite name for the adobe."
27f75cb706;{'weekly_visitor_type'};t_kctd_interaction_activity;;;['0', '1'];;;27f75cb706;0/1;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CLOSING_DATE: Closing date of the data
ADOBE_REPORT_SUITE_NAME: The report suite name for the adobe."
27f75cb789;{'quarterly_visitor_type'};t_kctd_interaction_activity;;;['0', '1'];;;27f75cb789;0/1;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CLOSING_DATE: Closing date of the data
ADOBE_REPORT_SUITE_NAME: The report suite name for the adobe."
27f75cb80d;{'monthly_visitor_type'};t_kctd_interaction_activity;;;['0', '1'];;;27f75cb80d;0/1;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CLOSING_DATE: Closing date of the data
ADOBE_REPORT_SUITE_NAME: The report suite name for the adobe."
27f75cb88d;{'hourly_visitor_type'};t_kctd_interaction_activity;;;['0', '1'];;;27f75cb88d;0/1;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CLOSING_DATE: Closing date of the data
ADOBE_REPORT_SUITE_NAME: The report suite name for the adobe."
27f75cb90d;{'new_daily_visitor_type'};t_kctd_interaction_activity;;;['0', '1'];;;27f75cb90d;0/1;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CLOSING_DATE: Closing date of the data
ADOBE_REPORT_SUITE_NAME: The report suite name for the adobe."
27f75cbe2b;{'post_cookies_accepted_type'};t_kctd_interaction_activity;;;['0', '1'];;;27f75cbe2b;0/1;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CLOSING_DATE: Closing date of the data
ADOBE_REPORT_SUITE_NAME: The report suite name for the adobe."
27f75cc109;{'post_v40_gender_type'};t_kctd_interaction_activity;;;['F', 'M'];;;27f75cc109;F/M;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CLOSING_DATE: Closing date of the data
ADOBE_REPORT_SUITE_NAME: The report suite name for the adobe."
27f75cc17d;{'v40_gender_type'};t_kctd_interaction_activity;;;['F', 'M'];;;27f75cc17d;F/M;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CLOSING_DATE: Closing date of the data
ADOBE_REPORT_SUITE_NAME: The report suite name for the adobe."
27f75cc21f;{'java_enabled_type'};t_kctd_interaction_activity;;;['0', '1'];;;27f75cc21f;0/1;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CLOSING_DATE: Closing date of the data
ADOBE_REPORT_SUITE_NAME: The report suite name for the adobe."
27f75cc869;{'truncated_hit_type'};t_kctd_interaction_activity;;;['0', '1'];;;27f75cc869;0/1;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CLOSING_DATE: Closing date of the data
ADOBE_REPORT_SUITE_NAME: The report suite name for the adobe."
27f75cc96e;{'paid_search_type'};t_kctd_interaction_activity;;;['0', '1'];;;27f75cc96e;0/1;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CLOSING_DATE: Closing date of the data
ADOBE_REPORT_SUITE_NAME: The report suite name for the adobe."
28012cabc9;{'persistent_cookie_type'};t_kctd_interaction_activity;;;['0', '1'];;;28012cabc9;0/1;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CLOSING_DATE: Closing date of the data
ADOBE_REPORT_SUITE_NAME: The report suite name for the adobe."
GL_DOM_t_kfcm_feedback_config_3.5_001;{'g_notif_disabled_ind_type'};t_kfcm_feedback_config;g_notif_disabled_ind_type is not null;;['Y', 'N'];;;GL_DOM_t_kfcm_feedback_config_3.5_001;Y/N;Daily;Si el campo (g_notif_disabled_ind_type) es distinto a NULL;4Q21;Ene_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
2827d0acb0;{'g_active_status_form_ind_type'};t_kfcm_feedback_forms;g_active_status_form_ind_type is not null and g_active_status_form_ind_type != '';;['Y', 'N'];;;2827d0acb0;Y/N;Daily;Distinto de null o vacío;3Q24;Nov_2024;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_kfcm_feedback_rlvnt_facts_3.5_000;{'g_rlvnt_fact_feedback_ind_type'};t_kfcm_feedback_rlvnt_facts;g_rlvnt_fact_feedback_ind_type is not null;;['Y', 'N'];;;GL_DOM_t_kfcm_feedback_rlvnt_facts_3.5_000;Y/N;Daily;Si el campo (g_rlvnt_fact_feedback_ind_type) es distinto a NULL;4Q21;Ene_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_kfcm_feedback_rlvnt_facts_3.5_003;{'g_rf_user_read_ind_type'};t_kfcm_feedback_rlvnt_facts;g_rf_user_read_ind_type is not null;;['Y', 'N'];;;GL_DOM_t_kfcm_feedback_rlvnt_facts_3.5_003;Y/N;Daily;Si el campo (g_rf_user_read_ind_type) es distinto a NULL;4Q21;Ene_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_kfcm_feedback_rlvnt_facts_3.5_004;{'g_rf_usr_discarded_ind_type'};t_kfcm_feedback_rlvnt_facts;g_rf_usr_discarded_ind_type is not null;;['Y', 'N'];;;GL_DOM_t_kfcm_feedback_rlvnt_facts_3.5_004;Y/N;Daily;Si el campo (g_rf_usr_discarded_ind_type) es distinto a NULL;4Q21;Ene_2022;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
GL_DOM_t_kfcm_nps_sv_respondent_smes_3.5_002;{'gf_rsp_co_ent_chng_pw_ind_type'};t_kfcm_nps_sv_respondent_smes;gf_rsp_co_ent_chng_pw_ind_type  is not null and gf_rsp_co_ent_chng_pw_ind_type != '';;['Y', 'N'];;;GL_DOM_t_kfcm_nps_sv_respondent_smes_3.5_002;Y/N;Daily;Cuando gf_rsp_co_ent_chng_pw_ind_type es distinto de Null y vacio;4Q22;Ene_2023;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data
